Ciudad,Fecha,Gestor,#,Etapa,Fuente,Sucursal,Categoría,kg,Usuario,Hora Registro,ID
Cali,5/22/2024,WERO,,Caracterización,Tortelli,Cali,Plegadiza,0.35,,,6934
Cali,5/22/2024,WERO,,Caracterización,Tortelli,Cali,Rechazo,3.6,,,6935
Cali,5/22/2024,WERO,,Caracterización,Tortelli,Cali,Vidrio,12.55,,,6936
Cali,5/24/2024,WERO,4981,Recolección,Calathea,San Fernando,Orgánicos,31.8,,,6937
Cali,5/24/2024,WERO,4976,Recolección,Dunkin Cali,San Vicente,Mezclado,0,,,6938
Cali,5/24/2024,WERO,4977,Recolección,Dunkin Cali,San Vicente,Mezclado,0,,,6939
Cali,5/24/2024,WERO,4980,Recolección,Ichiraku,Granada,Orgánicos,9.55,,,6940
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,Cartón,5.55,,,6941
Cali,5/24/2024,WERO,4986,Recolección,Mr. Bross,Ciudad Jardín,Mezclado,7.6,,,6942
Cali,5/24/2024,WERO,4985,Recolección,Mr. Bross,El Refugio,Mezclado,1.35,,,6943
Cali,5/24/2024,WERO,4973,Recolección,Mr. Bross,Los Gatos,Mezclado,5.85,,,6944
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,PEAD,1.5,,,6945
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,PEBD,0.1,,,6946
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,PET,2.7,,,6947
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,Rechazo,5.35,,,6948
Cali,5/24/2024,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,0.2,,,6949
Bogotá,5/24/2024,WERO,3901,Recolección,Qbano,Kennedy - Bogotá,Mezclado,1,,,6950
Bogotá,5/24/2024,WERO,3900,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,0,,,6951
Bogotá,5/24/2024,WERO,3898,Recolección,Qbano,Pepe Sierra - Bogotá,Mezclado,0,,,6952
Bogotá,5/24/2024,WERO,3899,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,2,,,6953
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,Archivo,0.3,,,6954
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,Cartón,19.75,,,6955
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,Chatarra,0.09,,,6956
Cali,5/24/2024,WERO,4983,Recolección,Qbano,Av. Roosevelt - Cali,Mezclado,15.8,,,6957
Cali,5/24/2024,WERO,4984,Recolección,Qbano,Cámbulos - Cali,Mezclado,1.9,,,6958
Cali,5/24/2024,WERO,4988,Recolección,Qbano,Ciudad Jardín - Cali,Mezclado,7.2,,,6959
Cali,5/24/2024,WERO,4978,Recolección,Qbano,La Merced - Cali,Mezclado,2.2,,,6960
Cali,5/24/2024,WERO,4975,Recolección,Qbano,Norte 1 - Cali,Mezclado,6,,,6961
Cali,5/24/2024,WERO,4989,Recolección,Qbano,Republica de Israel - Cali,Mezclado,0.85,,,6962
Cali,5/24/2024,WERO,4982,Recolección,Qbano,San Fernando - Cali,Mezclado,2.4,,,6963
Cali,5/24/2024,WERO,4990,Recolección,Qbano,Valle Grande - Cali,Mezclado,0.85,,,6964
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,PEBD,3.2,,,6965
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,Plegadiza,1.3,,,6966
Cali,5/24/2024,WERO,,Caracterización,Qbano,Cali,Rechazo,7.24,,,6967
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,Cartón,1.15,,,6968
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,Chatarra,0.2,,,6969
Cali,5/24/2024,WERO,4974,Recolección,Storia D´Amore,Granada,Mezclado,170.95,,,6970
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEBD,1.05,,,6971
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,Plegadiza,0.35,,,6972
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,Rechazo,11.75,,,6973
Cali,5/24/2024,WERO,,Caracterización,Storia D´Amore,Cali,Vidrio,156.2,,,6974
Cali,5/24/2024,WERO,4979,Recolección,Tecnoplast,Popular,Orgánicos,152.45,,,6975
Cali,5/24/2024,WERO,,Caracterización,Tortelli,Cali,Cartón,11.8,,,6976
Cali,5/24/2024,WERO,4987,Recolección,Tortelli,Palmas Mall,Mezclado,10.55,,,6977
Cali,5/24/2024,WERO,4972,Recolección,Tortelli,Peñón,Mezclado,9.95,,,6978
Cali,5/24/2024,WERO,,Caracterización,Tortelli,Cali,PET,0.75,,,6979
Cali,5/24/2024,WERO,,Caracterización,Tortelli,Cali,Vidrio,9.76,,,6980
Bogotá,5/27/2024,WERO,3906,Recolección,Pan Pa' Ya,Calle 96,Mezclado,2,,,6981
Bogotá,5/27/2024,WERO,3908,Recolección,Pan Pa' Ya,Calleja,Mezclado,4,,,6982
Bogotá,5/27/2024,WERO,3903,Recolección,Pan Pa' Ya,Chapinero,Mezclado,4,,,6983
Bogotá,5/27/2024,WERO,3905,Recolección,Pan Pa' Ya,El Retiro,Mezclado,6.5,,,6984
Bogotá,5/27/2024,WERO,3902,Recolección,Pan Pa' Ya,Esmeralda,Mezclado,0,,,6985
Bogotá,5/27/2024,WERO,3910,Recolección,Pan Pa' Ya,Mazuren,Mezclado,4,,,6986
Bogotá,5/27/2024,WERO,3911,Recolección,Pan Pa' Ya,Oficina principal,Mezclado,4,,,6987
Bogotá,5/27/2024,WERO,3907,Recolección,Pan Pa' Ya,Pasadena,Mezclado,3,,,6988
Bogotá,5/27/2024,WERO,3904,Recolección,Pan Pa' Ya,Rosales,Mezclado,3.5,,,6989
Bogotá,5/27/2024,WERO,3909,Recolección,Pan Pa' Ya,Toberin,Mezclado,1,,,6990
Bogotá,5/27/2024,WERO,3913,Recolección,Papa John's,Corferias,Mezclado,0,,,6991
Bogotá,5/27/2024,WERO,3916,Recolección,Qbano,Kennedy - Bogotá,Mezclado,4,,,6992
Bogotá,5/27/2024,WERO,3915,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,0,,,6993
Bogotá,5/27/2024,WERO,3912,Recolección,Qbano,Pepe Sierra - Bogotá,Mezclado,3,,,6994
Bogotá,5/27/2024,WERO,3914,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,4,,,6995
Cali,5/28/2024,WERO,4995,Recolección,Dunkin Cali,San Vicente,Mezclado,2.8,,,6996
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,Cartón,0.4,,,6997
Cali,5/28/2024,WERO,5001,Recolección,Mr. Bross,Ciudad Jardín,Mezclado,2.4,,,6998
Cali,5/28/2024,WERO,5003,Recolección,Mr. Bross,El Refugio,Mezclado,2.6,,,6999
Cali,5/28/2024,WERO,4992,Recolección,Mr. Bross,Los Gatos,Mezclado,1.85,,,7000
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,PEAD,0.3,,,7001
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,PEBD,0.26,,,7002
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,PET,2.25,,,7003
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,0.05,,,7004
Cali,5/28/2024,WERO,,Caracterización,Mr. Bross,Cali,Rechazo,3.4,,,7005
Cali,5/28/2024,WERO,4998,Recolección,Once Once,Cañasgordas,Mezclado,29.05,,,7006
Cali,5/28/2024,WERO,,Recolección,Once Once,Cañasgordas,Orgánicos,88.1,,,7007
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,Archivo,0.75,,,7008
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,Cartón,14.45,,,7009
Cali,5/28/2024,WERO,5006,Recolección,Qbano,Av. Roosevelt - Cali,Mezclado,7,,,7010
Cali,5/28/2024,WERO,5004,Recolección,Qbano,Cámbulos - Cali,Mezclado,0,,,7011
Cali,5/28/2024,WERO,4999,Recolección,Qbano,Ciudad Jardín - Cali,Mezclado,0.5,,,7012
Cali,5/28/2024,WERO,5007,Recolección,Qbano,La Merced - Cali,Mezclado,6.6,,,7013
Cali,5/28/2024,WERO,4993,Recolección,Qbano,Norte 1 - Cali,Mezclado,5.85,,,7014
Cali,5/28/2024,WERO,4997,Recolección,Qbano,Republica de Israel - Cali,Mezclado,0,,,7015
Cali,5/28/2024,WERO,5005,Recolección,Qbano,San Fernando - Cali,Mezclado,10.2,,,7016
Cali,5/28/2024,WERO,4996,Recolección,Qbano,Valle Grande - Cali,Mezclado,0.45,,,7017
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,Orgánicos,24.1,,,7018
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,PEAD,3.2,,,7019
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,PEBD,3.8,,,7020
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,PET,0.4,,,7021
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,Plegadiza,1.05,,,7022
Cali,5/28/2024,WERO,,Caracterización,Qbano,Cali,Rechazo,10.55,,,7023
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,Cartón,6.35,,,7024
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,Chatarra,0.2,,,7025
Cali,5/28/2024,WERO,4994,Recolección,Storia D´Amore,Granada,Mezclado,302.7,,,7026
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEAD,0.09,,,7027
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEBD,1.55,,,7028
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,PET,0.1,,,7029
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,Plegadiza,1.75,,,7030
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,Rechazo,13.15,,,7031
Cali,5/28/2024,WERO,,Caracterización,Storia D´Amore,Cali,Vidrio,272.25,,,7032
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,Cartón,24.1,,,7033
Cali,5/28/2024,WERO,5002,Recolección,Tortelli,Palmas Mall,Mezclado,66.82,,,7034
Cali,5/28/2024,WERO,4991,Recolección,Tortelli,Peñón,Mezclado,35.8,,,7035
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,PEAD,0.4,,,7036
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,PEBD,0.1,,,7037
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,PET,3.15,,,7038
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,Plegadiza,4.35,,,7039
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,Rechazo,8.7,,,7040
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,Tetra Pak,0.15,,,7041
Cali,5/28/2024,WERO,,Caracterización,Tortelli,Cali,Vidrio,70.2,,,7042
Cali,5/29/2024,WERO,,Caracterización,Dunkin Cali,Cali,Archivo,1.2,,,7043
Cali,5/29/2024,WERO,5009,Recolección,Dunkin Cali,San Vicente,Mezclado,0.25,,,7044
Cali,5/29/2024,WERO,5010,Recolección,Dunkin Cali,San Vicente,Mezclado,0,,,7045
Cali,5/29/2024,WERO,,Caracterización,Dunkin Cali,Cali,PEBD,0.8,,,7046
Cali,5/29/2024,WERO,,Caracterización,Dunkin Cali,Cali,PET,0.08,,,7047
Cali,5/29/2024,WERO,,Caracterización,Dunkin Cali,Cali,Plegadiza,0.4,,,7048
Cali,5/29/2024,WERO,5070,Recolección,Mr. Bross,Parque del Perro,Mezclado,0,,,7049
Bogotá,5/29/2024,WERO,3917,Recolección,Papa John's,Corferias,Mezclado,1,,,7050
Bogotá,5/29/2024,WERO,3920,Recolección,Qbano,Kennedy - Bogotá,Mezclado,1,,,7051
Bogotá,5/29/2024,WERO,3918,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,0,,,7052
Bogotá,5/29/2024,WERO,3919,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,3,,,7053
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,Archivo,0.15,,,7054
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,Cartón,6.7,,,7055
Cali,5/29/2024,WERO,5019,Recolección,Qbano,Av. Roosevelt - Cali,Mezclado,2.6,,,7056
Cali,5/29/2024,WERO,5018,Recolección,Qbano,Cámbulos - Cali,Mezclado,3.5,,,7057
Cali,5/29/2024,WERO,5016,Recolección,Qbano,Ciudad Jardín - Cali,Mezclado,0.35,,,7058
Cali,5/29/2024,WERO,5013,Recolección,Qbano,La Merced - Cali,Mezclado,2.7,,,7059
Cali,5/29/2024,WERO,5011,Recolección,Qbano,Norte 1 - Cali,Mezclado,0,,,7060
Cali,5/29/2024,WERO,5015,Recolección,Qbano,Republica de Israel - Cali,Mezclado,0,,,7061
Cali,5/29/2024,WERO,5020,Recolección,Qbano,San Fernando - Cali,Mezclado,1.45,,,7062
Cali,5/29/2024,WERO,5014,Recolección,Qbano,Valle Grande - Cali,Mezclado,1.45,,,7063
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,Orgánicos,9.2,,,7064
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,PEAD,2.35,,,7065
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,PEBD,0.7,,,7066
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,Plegadiza,0.5,,,7067
Cali,5/29/2024,WERO,,Caracterización,Qbano,Cali,Rechazo,2.03,,,7068
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,Cartón,3.7,,,7069
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,Chatarra,0.1,,,7070
Cali,5/29/2024,WERO,5008,Recolección,Storia D´Amore,Granada,Mezclado,61.55,,,7071
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEAD,0.6,,,7072
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEBD,0.55,,,7073
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,PET,0.1,,,7074
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,Plegadiza,1.9,,,7075
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,Rechazo,5,,,7076
Cali,5/29/2024,WERO,,Caracterización,Storia D´Amore,Cali,Vidrio,60.65,,,7077
Cali,5/29/2024,WERO,,Caracterización,Tortelli,Cali,Cartón,1.3,,,7078
Cali,5/29/2024,WERO,5017,Recolección,Tortelli,Palmas Mall,Mezclado,5.9,,,7079
Cali,5/29/2024,WERO,5000,Recolección,Tortelli,Peñón,Mezclado,5.1,,,7080
Cali,5/29/2024,WERO,,Caracterización,Tortelli,Cali,PET,0.5,,,7081
Cali,5/29/2024,WERO,,Caracterización,Tortelli,Cali,Vidrio,4.05,,,7082
Bogotá,5/30/2024,ASSORSA,,Caracterización,Pan Pa' Ya,Bogotá,Cartón,7,,,7083
Bogotá,5/30/2024,ASSORSA,,Caracterización,Pan Pa' Ya,Bogotá,PET,17,,,7084
Bogotá,5/30/2024,ASSORSA,,Caracterización,Pan Pa' Ya,Bogotá,Vidrio,8,,,7085
Bogotá,5/30/2024,ASSORSA,,Caracterización,Papa John's,Bogotá,Archivo,1,,,7086
Bogotá,5/30/2024,ASSORSA,,Caracterización,Qbano,Bogotá,Archivo,5,,,7087
Bogotá,5/30/2024,ASSORSA,,Caracterización,Qbano,Bogotá,Cartón,9,,,7088
Bogotá,5/30/2024,ASSORSA,,Caracterización,Qbano,Bogotá,PET,2,,,7089
Bogotá,5/30/2024,ASSORSA,,Caracterización,Qbano,Bogotá,Vidrio,2,,,7090
Cali,5/31/2024,WERO,5039,Recolección,Calathea,San Fernando,Mezclado,18.25,,,7091
Cali,5/31/2024,WERO,,Recolección,Calathea,San Fernando,Orgánicos,68.1,,,7092
Cali,5/31/2024,WERO,,Caracterización,Dunkin Cali,Cali,Cartón,4,,,7093
Cali,5/31/2024,WERO,5024,Recolección,Dunkin Cali,San Vicente,Mezclado,3.3,,,7094
Cali,5/31/2024,WERO,5027,Recolección,Dunkin Cali,San Vicente,Mezclado,1.45,,,7095
Cali,5/31/2024,WERO,,Caracterización,Dunkin Cali,Cali,PEBD,1,,,7096
Cali,5/31/2024,WERO,,Caracterización,Dunkin Cali,Cali,PET,0.9,,,7097
Cali,5/31/2024,WERO,,Caracterización,Dunkin Cali,Cali,Plegadiza,1,,,7098
Cali,5/31/2024,WERO,,Caracterización,Dunkin Cali,Cali,Rechazo,1.9,,,7099
Cali,5/31/2024,WERO,5041,Recolección,Ichiraku,Granada,Orgánicos,16,,,7100
Cali,5/31/2024,WERO,5025,Recolección,Jaramillo Mora,La Flora,Orgánicos,19.35,,,7101
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,Cartón,1.25,,,7102
Cali,5/31/2024,WERO,5033,Recolección,Mr. Bross,Ciudad Jardín,Mezclado,2.51,,,7103
Cali,5/31/2024,WERO,5035,Recolección,Mr. Bross,El Refugio,Mezclado,1.3,,,7104
Cali,5/31/2024,WERO,5042,Recolección,Mr. Bross,La Flora,Mezclado,9.8,,,7105
Cali,5/31/2024,WERO,5040,Recolección,Mr. Bross,Los Gatos,Mezclado,2.15,,,7106
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,PEAD,1,,,7107
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,PEBD,0.25,,,7108
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,PET,5.6,,,7109
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,Plegadiza,0.25,,,7110
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,Rechazo,7.15,,,7111
Cali,5/31/2024,WERO,,Caracterización,Mr. Bross,Cali,Vidrio,1.75,,,7112
Cali,5/31/2024,WERO,5031,Recolección,Once Once,Cañasgordas,Mezclado,81.65,,,7113
Cali,5/31/2024,WERO,,Recolección,Once Once,Cañasgordas,Orgánicos,31.1,,,7114
Cali,5/31/2024,WERO,,Recolección,Once Once,Cañasgordas,T. de grasa,10.2,,,7115
Bogotá,5/31/2024,WERO,3923,Recolección,Papa John's,Corferias,Mezclado,1,,,7116
Bogotá,5/31/2024,WERO,3925,Recolección,Qbano,Kennedy - Bogotá,Mezclado,1,,,7117
Bogotá,5/31/2024,WERO,3924,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,1,,,7118
Bogotá,5/31/2024,WERO,3922,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,1.5,,,7119
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,Archivo,0.65,,,7120
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,Cartón,31.1,,,7121
Cali,5/31/2024,WERO,5037,Recolección,Qbano,Av. Roosevelt - Cali,Mezclado,12.3,,,7122
Cali,5/31/2024,WERO,5036,Recolección,Qbano,Cámbulos - Cali,Mezclado,6.2,,,7123
Cali,5/31/2024,WERO,5032,Recolección,Qbano,Ciudad Jardín - Cali,Mezclado,5.7,,,7124
Cali,5/31/2024,WERO,5028,Recolección,Qbano,La Merced - Cali,Mezclado,2.5,,,7125
Cali,5/31/2024,WERO,5026,Recolección,Qbano,Norte 1 - Cali,Mezclado,6.6,,,7126
Cali,5/31/2024,WERO,5030,Recolección,Qbano,Republica de Israel - Cali,Mezclado,0,,,7127
Cali,5/31/2024,WERO,5038,Recolección,Qbano,San Fernando - Cali,Mezclado,3.5,,,7128
Cali,5/31/2024,WERO,5029,Recolección,Qbano,Valle Grande - Cali,Mezclado,2.25,,,7129
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,Orgánicos,11.65,,,7130
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,PEAD,0.85,,,7131
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,PEBD,1.55,,,7132
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,Plegadiza,0.9,,,7133
Cali,5/31/2024,WERO,,Caracterización,Qbano,Cali,Rechazo,7.6,,,7134
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,Cartón,4.65,,,7135
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,Chatarra,0.25,,,7136
Cali,5/31/2024,WERO,5023,Recolección,Storia D´Amore,Granada,Mezclado,118.4,,,7137
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEAD,0.2,,,7138
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEBD,0.65,,,7139
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,PET,0.1,,,7140
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,Plegadiza,1.15,,,7141
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,Rechazo,7.5,,,7142
Cali,5/31/2024,WERO,,Caracterización,Storia D´Amore,Cali,Vidrio,102.9,,,7143
Cali,5/31/2024,WERO,5021,Recolección,Tecnoplast,Popular,Orgánicos,203,,,7144
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,Cartón,11.2,,,7145
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,Chatarra,0.25,,,7146
Cali,5/31/2024,WERO,5034,Recolección,Tortelli,Palmas Mall,Mezclado,13.1,,,7147
Cali,5/31/2024,WERO,5022,Recolección,Tortelli,Peñón,Mezclado,41.65,,,7148
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,PEAD,0.2,,,7149
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,PEBD,0.65,,,7150
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,PET,0.1,,,7151
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,Plegadiza,1.15,,,7152
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,Rechazo,7.5,,,7153
Cali,5/31/2024,WERO,,Caracterización,Tortelli,Cali,Vidrio,32.81,,,7154
Cali,6/1/2024,,Ninguno,Recolección,Storia D´Amore,Granada,Mezclado,930,,,7155
Bogotá,6/3/2024,WERO,3930,Recolección,Pan Pa' Ya,Calle 96,Mezclado,2,,,7156
Bogotá,6/3/2024,WERO,3933,Recolección,Pan Pa' Ya,Calleja,Mezclado,3.5,,,7157
Bogotá,6/3/2024,WERO,3927,Recolección,Pan Pa' Ya,Chapinero,Mezclado,4,,,7158
Bogotá,6/3/2024,WERO,3929,Recolección,Pan Pa' Ya,El Retiro,Mezclado,0,,,7159
Bogotá,6/3/2024,WERO,3926,Recolección,Pan Pa' Ya,Esmeralda,Mezclado,1,,,7160
Bogotá,6/3/2024,WERO,3934,Recolección,Pan Pa' Ya,Mazuren,Mezclado,4,,,7161
Bogotá,6/3/2024,WERO,3931,Recolección,Pan Pa' Ya,Pasadena,Mezclado,3,,,7162
Bogotá,6/3/2024,WERO,3928,Recolección,Pan Pa' Ya,Rosales,Mezclado,3,,,7163
Bogotá,6/3/2024,WERO,3934,Recolección,Pan Pa' Ya,Toberin,Mezclado,0,,,7164
Bogotá,6/3/2024,WERO,3936,Recolección,Papa John's,Corferias,Mezclado,1,,,7165
Bogotá,6/3/2024,WERO,3939,Recolección,Qbano,Kennedy - Bogotá,Mezclado,1,,,7166
Bogotá,6/3/2024,WERO,3938,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,1,,,7167
Bogotá,6/3/2024,WERO,3932,Recolección,Qbano,Pepe Sierra - Bogotá,Mezclado,4,,,7168
Bogotá,6/3/2024,WERO,3937,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,1,,,7169
Cali,6/5/2024,WERO,5045,Recolección,Dunkin Cali,San Vicente,Mezclado,0,,,7170
Cali,6/5/2024,WERO,5048,Recolección,Mr. Bross,Ciudad Jardín,Mezclado,3.5,,,7171
Cali,6/5/2024,WERO,5050,Recolección,Mr. Bross,El Refugio,Mezclado,0,,,7172
Cali,6/5/2024,WERO,5059,Recolección,Mr. Bross,La Flora,Mezclado,8.3,,,7173
Cali,6/5/2024,WERO,5054,Recolección,Mr. Bross,Los Gatos,Mezclado,0,,,7174
Bogotá,6/5/2024,WERO,3941,Recolección,Papa John's,Corferias,Mezclado,1,,,7175
Bogotá,6/5/2024,AIRE URBANO ,,Recolección,Papa John's,Usaquén,Mezclado,0.3,,,7176
Bogotá,6/5/2024,AIRE URBANO ,,Caracterización,Papa John's,Bogotá,PET,0.3,,,7177
Bogotá,6/5/2024,WERO,3944,Recolección,Qbano,Kennedy - Bogotá,Mezclado,3,,,7178
Bogotá,6/5/2024,WERO,3943,Recolección,Qbano,Mundo Aventura - Bogotá,Mezclado,0,,,7179
Bogotá,6/5/2024,WERO,3942,Recolección,Qbano,Santa Isabel - Bogotá,Mezclado,2,,,7180
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,Archivo,0.2,,,7181
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,Cartón,26.15,,,7182
Cali,6/5/2024,WERO,5052,Recolección,Qbano,Av. Roosevelt - Cali,Mezclado,5.5,,,7183
Cali,6/5/2024,WERO,5051,Recolección,Qbano,Cámbulos - Cali,Mezclado,1.9,,,7184
Cali,6/5/2024,WERO,5046,Recolección,Qbano,Ciudad Jardín - Cali,Mezclado,5,,,7185
Cali,6/5/2024,WERO,5056,Recolección,Qbano,La Merced - Cali,Mezclado,11.6,,,7186
Cali,6/5/2024,WERO,5055,Recolección,Qbano,Norte 1 - Cali,Mezclado,2.6,,,7187
Cali,6/5/2024,WERO,5058,Recolección,Qbano,Republica de Israel - Cali,Mezclado,5.45,,,7188
Cali,6/5/2024,WERO,5053,Recolección,Qbano,San Fernando - Cali,Mezclado,12,,,7189
Cali,6/5/2024,WERO,5057,Recolección,Qbano,Valle Grande - Cali,Mezclado,5.45,,,7190
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,Orgánicos,32.7,,,7191
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,PEAD,0.45,,,7192
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,PEBD,1.15,,,7193
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,PET,0.9,,,7194
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,Plegadiza,0.6,,,7195
Cali,6/5/2024,WERO,,Caracterización,Qbano,Cali,Rechazo,25.5,,,7196
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,Cartón,7.35,,,7197
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,Chatarra,0.2,,,7198
Cali,6/5/2024,WERO,5044,Recolección,Storia D´Amore,Granada,Mezclado,392,,,7199
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,PEAD,0.65,,,7200
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,PET,5.11,,,7201
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,Plegadiza,0.75,,,7202
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,Rechazo,1,,,7203
Cali,6/5/2024,WERO,,Caracterización,Storia D´Amore,Cali,Vidrio,349.7,,,7204
Cali,6/5/2024,WERO,,Caracterización,Tortelli,Cali,Cartón,23,,,7205
Cali,6/5/2024,WERO,,Caracterización,Tortelli,Cali,Chatarra,10.6,,,7206
Cali,6/5/2024,WERO,5049,Recolección,Tortelli,Palmas Mall,Mezclado,74.7,,,7207
Cali,6/5/2024,WERO,5043,Recolección,Tortelli,Peñón,Mezclado,70.6,,,7208
